Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Stratification 3,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group
2021,Florida,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,45-64,45-64,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,7,12,POINT (-81.928961 28.93204),South,FL,South Atlantic,Yes,Low,2020-2024
2021,Kentucky,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19+,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"6,705.70",21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Missouri,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,65+,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"3,713.90",29,POINT (-92.5663 38.635791),Midwest,MO,West North Central,Yes,High,2020-2024
2021,Illinois,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,18-44,None,Number of Work Days Lost Per Employed Person with Diabetes,Work Days Lost Per Employed PWD,16,17,POINT (-88.99771 40.48501),Midwest,IL,East North Central,Yes,Low,2020-2024
2021,Maine,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Morbidity,Total Cost (Dollars in Millions),Total Cost ($ in Millions),35.4,23,POINT (-68.985031 45.254229),Northeast,ME,New England,Yes,Low,2020-2024
2021,California,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Females,Age,19+,Total,All Payers,Per Person with Diabetes (Dollars),Per PWD ($),"11,173",6,POINT (-121 37.63864),West,CA,Pacific,Yes,High,2020-2024
2021,Montana,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,45-64,45-64,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),91.4,30,POINT (-109.424421 47.066529),West,MT,Mountain,Yes,Low,2020-2024
2021,Minnesota,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-74,Total,None,Work Productivity Cost (Dollars in Millions),Work Productivity Cost ($ in Millions),846.2,27,POINT (-94.794201 46.355649),Midwest,MN,West North Central,Yes,Medium,2020-2024
2021,Minnesota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),11.3,27,POINT (-94.794201 46.355649),Midwest,MN,West North Central,Yes,Low,2020-2024
2021,North Carolina,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),164.9,37,POINT (-79.15925 35.466221),South,NC,South Atlantic,Yes,Low,2020-2024
