Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group,Location Type
2021,South Dakota,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,18+,Average/Total,Total QALYs Lost due to Diabetes (in thousands),Total QALYs Lost ATD (in thousands),127.3,46,POINT (-100.373531 44.35313),Midwest,SD,West North Central,Yes,Medium,2020-2024,State
2021,Utah,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,65-74,65-74,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,28,49,POINT (-111.587131 39.3607),West,UT,Mountain,Yes,Medium,2020-2024,State
2021,Florida,Diabetes Cause of Death,"Deaths with Diabetes as Underlying Cause of Death (UCOD) per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,45-64,45-64,"Deaths per 100,000","Deaths per 100,000",36,12,POINT (-81.928961 28.93204),South,FL,South Atlantic,Yes,Medium,2020-2024,State
2021,Alabama,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,65-74,65-74,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,2.9,01,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024,State
2021,Maine,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,65-74,65-74,Number of Persons with Diabetes (in thousands),PWD (in thousands),17,23,POINT (-68.985031 45.254229),Northeast,ME,New England,Yes,Low,2020-2024,State
2021,Tennessee,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Males,Age,15+,Total,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,"2,150",47,POINT (-85.774491 35.680941),South,TN,East South Central,Yes,High,2020-2024,State
2021,North Carolina,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,"1,320",37,POINT (-79.15925 35.466221),South,NC,South Atlantic,Yes,High,2020-2024,State
2021,Nebraska,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,75+,75+,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,77,31,POINT (-99.365721 41.641041),Midwest,NE,West North Central,Yes,Medium,2020-2024,State
2021,Ohio,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,15-44,15-44,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,2,39,POINT (-82.40426 40.06021),Midwest,OH,East North Central,Yes,Low,2020-2024,State
2021,Washington,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,75+,75+,All Causes of Death (Estimated),All Causes of Death,626,53,POINT (-120.470011 47.522279),West,WA,Pacific,Yes,High,2020-2024,State
